Category_name,Cat_id,Keywords,Monthly_num_search,Avg_monthly_click,Competitiveness
패션의류,50000000,로로희,48020.0,138.1,중간
패션의류,50000000,라코스테맨투맨,19290.0,122.4,높음
패션의류,50000000,프로젝트엠,51320.0,145.5,높음
패션의류,50000000,제너럴아이디어가디건,33060.0,1132.3,높음
패션의류,50000000,한복대여,36780.0,1565.7,중간
패션의류,50000000,아미맨투맨,31870.0,412.29999999999995,중간
패션의류,50000000,시슬리,61250.0,1766.3999999999999,중간
패션의류,50000000,올리브데올리브,46760.0,152.1,높음
패션의류,50000000,데님셔츠,23990.0,170.0,중간
패션의류,50000000,지컷,37930.0,257.3,중간
패션의류,50000000,남성팬티,21160.0,615.5,높음
패션의류,50000000,원더브라,81430.0,2514.7,높음
패션의류,50000000,나이키맨투맨,42360.0,379.1,중간
패션의류,50000000,여성숏패딩,6170.0,43.1,높음
패션의류,50000000,꼼데가르송가디건,96220.0,2348.8,높음
패션의류,50000000,보브자켓,12160.0,136.5,중간
패션의류,50000000,스웨이드자켓,32420.0,169.4,높음
패션의류,50000000,리바이스청바지,31070.0,422.2,중간
패션의류,50000000,샤스커트,25840.0,272.3,높음
패션의류,50000000,듀엘자켓,10250.0,34.699999999999996,높음
패션의류,50000000,크롭자켓,19970.0,104.3,높음
패션의류,50000000,칼하트,161900.0,754.1,중간
패션의류,50000000,로엠원피스,15380.0,80.5,높음
패션의류,50000000,시스티나,35140.0,1448.2,중간
패션의류,50000000,잇미샤자켓,16390.0,95.1,높음
패션의류,50000000,남성경량패딩,10690.0,85.3,중간
패션의류,50000000,쥬시쥬디원피스,7760.0,70.4,높음
패션의류,50000000,오즈세컨,28080.0,183.9,높음
패션의류,50000000,데님스커트,15440.0,70.39999999999999,높음
패션의류,50000000,플레어스커트,20870.0,111.2,높음
패션의류,50000000,로엠,132000.0,454.1,중간
패션의류,50000000,워크자켓,45780.0,167.4,높음
패션의류,50000000,슬립,26550.0,673.7,중간
패션의류,50000000,여성티셔츠,26910.0,315.7,높음
패션의류,50000000,메종키츠네맨투맨,28560.0,217.2,높음
패션의류,50000000,칼하트자켓,22540.0,263.8,중간
패션의류,50000000,봄원피스,37770.0,571.0999999999999,높음
패션의류,50000000,보니스팍스,16070.0,372.1,중간
패션의류,50000000,브이넥니트,16480.0,69.60000000000001,높음
패션의류,50000000,트위드가디건,15030.0,35.1,높음
패션의류,50000000,몽클레어,175600.0,607.0,중간
패션의류,50000000,지컷자켓,11070.0,91.39999999999999,높음
패션의류,50000000,올리비아하슬러,21830.0,462.0,중간
패션의류,50000000,더봄,25840.0,141.0,중간
패션의류,50000000,모조에스핀블라우스,7560.0,28.900000000000002,높음
패션의류,50000000,반에이크,20380.0,222.8,중간
패션의류,50000000,써스데이아일랜드블라우스,8880.0,47.4,높음
패션의류,50000000,트레이닝바지,31540.0,283.9,중간
패션의류,50000000,지컷원피스,9860.0,91.2,높음
패션의류,50000000,아디다스바람막이,54340.0,407.0,중간
패션의류,50000000,스투시,412600.0,1277.3,중간
패션의류,50000000,디키즈아이젠하워,13330.0,388.6,중간
패션의류,50000000,남자니트,20290.0,201.1,높음
패션의류,50000000,아미가디건,42100.0,672.0,중간
패션의류,50000000,후아유후드집업,22280.0,163.5,높음
패션의류,50000000,셀프웨딩드레스,18720.0,247.7,높음
패션의류,50000000,여자속옷,35320.0,1459.2,높음
패션의류,50000000,시슬리자켓,14740.0,89.6,높음
패션의류,50000000,남자자켓,29220.0,226.3,높음
패션의류,50000000,스톤아일랜드맨투맨,22380.0,322.7,중간
패션의류,50000000,잇미샤코트,5940.0,37.8,높음
패션의류,50000000,자주잠옷,25030.0,271.3,중간
