Category_name,Cat_id,Keywords,Monthly_num_search,Avg_monthly_click,Competitiveness,2024-02-29,2024-03-01,2024-03-02,2024-03-03,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-09,2024-03-10,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-16,2024-03-17,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-23,2024-03-24,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29
출산/육아,50000005,아디다스슈퍼스타키즈,6740.0,105.3,높음,28.61952,32.32323,38.55218,53.7037,41.07744,35.18518,45.28619,39.73063,38.88888,45.11784,45.95959,41.07744,29.62962,38.55218,35.69023,31.81818,43.26599,41.24579,38.21548,37.71043,33.83838,31.64983,27.27272,33.83838,36.53198,34.34343,31.31313,36.02693,27.60942,28.11447
출산/육아,50000005,방수패드,19260.0,391.8,높음,76.94334,82.34519,82.74044,93.41238,100.0,92.09486,87.08827,91.17259,82.60869,71.27799,88.6693,82.60869,83.26745,87.61528,95.38866,74.8353,67.98418,91.83135,91.30434,82.60869,80.50065,74.70355,65.48089,67.06192,70.61923,92.09486,95.65217,83.3992,90.51383,65.08563
출산/육아,50000005,에어바운스대여,10380.0,308.7,높음,38.47167,33.33333,31.09354,37.81291,37.41765,41.23847,44.53227,39.78919,38.33992,32.41106,36.23188,38.73517,49.14361,42.81949,46.90382,41.23847,38.20816,44.40052,49.40711,59.42028,47.29907,48.35309,44.92753,40.44795,42.95125,54.28194,47.82608,50.85638,52.83267,49.93412
출산/육아,50000005,복도매트,4390.0,11.8,높음,19.23583,25.29644,22.00263,27.14097,23.58366,22.39789,15.94202,19.49934,16.86429,20.94861,29.77602,18.18181,19.36758,20.94861,23.84716,13.83399,16.86429,26.74571,14.09749,15.41501,13.43873,15.28326,14.22924,15.81027,17.52305,21.60737,17.12779,18.84057,15.54677,12.38471
출산/육아,50000005,시나모롤가방,6740.0,99.2,중간,33.86034,38.20816,39.52569,36.49538,47.69433,43.083,35.57312,30.83003,26.87747,34.38735,25.42819,28.59025,25.42819,26.08695,28.06324,23.58366,27.93148,28.32674,25.29644,23.05665,22.39789,24.63768,20.81686,26.48221,28.19499,21.87088,22.39789,23.58366,22.52964,16.73254
출산/육아,50000005,닥스키즈코트,2910.0,11.4,높음,23.97891,22.13438,29.64426,26.08695,30.69828,22.9249,13.17523,16.46903,15.41501,15.54677,15.81027,17.91831,11.46245,12.38471,13.83399,9.0909,8.69565,10.27667,9.88142,11.33069,5.66534,9.22266,6.19235,4.87483,5.7971,5.00658,4.47957,5.92885,5.40184,3.95256
출산/육아,50000005,블루독상하복,7830.0,81.8,높음,18.99757,20.93775,27.56669,25.62651,27.40501,30.07275,27.0008,25.06063,20.93775,20.29102,23.20129,25.54567,25.22231,22.15036,23.44381,22.87793,18.35084,22.39288,19.32093,20.37186,19.56345,15.35974,15.03637,14.30881,16.00646,19.56345,17.8658,18.99757,14.63217,12.28779
출산/육아,50000005,자석블럭,11630.0,161.5,높음,29.74939,30.15359,30.71948,30.31527,29.1835,27.40501,32.41713,32.25545,27.08164,32.90218,32.7405,27.0008,30.71948,29.50687,37.18674,35.97413,25.30315,32.33629,30.39611,33.1447,33.95311,36.70169,28.94098,25.94987,29.99191,28.61762,31.85125,34.03395,32.90218,24.89894
출산/육아,50000005,키즈상하복,9060.0,84.6,높음,23.20129,26.83912,25.54567,34.35731,31.77041,37.99514,33.79143,30.80032,24.4139,23.60549,29.50687,28.21341,25.54567,25.94987,24.25222,19.80598,19.96766,27.0008,23.28213,25.46483,20.53354,17.29991,17.4616,16.65319,24.0097,27.16248,22.06952,19.40177,17.4616,15.11721
출산/육아,50000005,브라이텍스카시트,26990.0,70.5,높음,53.1932,79.22392,79.14308,98.38318,84.39773,63.13662,62.97493,60.63055,63.13662,82.53839,92.64349,72.67582,65.31932,62.89409,64.1067,66.53193,85.04446,100.0,70.65481,65.64268,64.83427,57.96281,61.84316,79.78981,88.60145,73.64591,62.24737,61.84316,56.66936,60.87308
